Link;Titulo;Precio;Marca;Modelo de notebook;Tamaño de Pantalla;Descripción;Imagen 1;Imagen 2;Imagen 3;Imagen 4;Imagen 5;Imagen 6;Imagen 7;Imagen 8
http://articulo.mercadolibre.com.mx/MLM-568707831-pantalla-14-40p-n140bge-l42-l43-l33-b140xtn030-0pix-6m-_JM;Pantalla 14 40p N140bge L42 L43  L33 B140xtn03.0 0pix 6m;1499;"Genérico Compatible
";"Ideapad U400, Y450, T430.
";"14 in
";"ESTA PANTALLA ES COMPATIBLE CON LOS SIGUIENTES MODELOS
 COMPATIBILIDADES
 Acer Aspire
 V5-471, V5-431, 4810T, 4810TZ Series
 HP Pavilion
 14-N, 14-E, 14-R, 14-G, 14-R, 14-V DM4-1000 2000 14-B 240 G3 Series
 Dell Inspiron
 14 3421, 14R 5421, 14Z N411Z, 14Z 5423, 14Z 1470, Latitude 3440 Series
 Lenovo
 G400s, G405s, S400, S410, S405, T420 Series
 Samsung
 NP370R4E Series
 Toshiba Satellite
 L40-A, L40T Series
 Sony Vaio
 SVE14, VPC-EA, VPC-CW, SVF14, PCG-61313L, PCG-61112L, PCG-61411L, Series
 NUMERO DE PARTE
 N140BGE-LB2 N140BGE-L31 N140BGE-L32 N140BGE-L33 N140BGE-L41 N140BGE-L42 N140BGE-L43 N140BGE-LA2 B140XW02 B140XW03 B140XTN02.0 B140XTN02.2 B140XTN02.3 B140XTN03.0 Lp140wh2(tl)(s1) Lp140wh2(tl)(a2) Lp140wh2(tl)(e1) Lp140wh2(tl)(e2) LTN140AT20-D LTN140AT20-D01 LTN140AT20-T02 LTN140AT20-L02 LTN140AT20-W01 LTN140AT20-G01 LTN140AT20-V01 M140NWR1 LP140WHU LTN140AT27 LTN140AT28 CLAA140WB01";https://http2.mlstatic.com/pantalla-14-40p-n140bge-l42-l43-l33-b140xtn030-0pix-6m-D_NQ_NP_915025-MLM26306708730_112017-O.jpg;https://http2.mlstatic.com/pantalla-14-40p-n140bge-l42-l43-l33-b140xtn030-0pix-6m-D_NQ_NP_663217-MLM25578663333_052017-O.jpg;https://http2.mlstatic.com/pantalla-14-40p-n140bge-l42-l43-l33-b140xtn030-0pix-6m-D_NQ_NP_750838-MLM26115593125_102017-O.jpg;https://http2.mlstatic.com/pantalla-14-40p-n140bge-l42-l43-l33-b140xtn030-0pix-6m-D_NQ_NP_656957-MLM26022171584_092017-O.jpg;https://http2.mlstatic.com/pantalla-14-40p-n140bge-l42-l43-l33-b140xtn030-0pix-6m-D_NQ_NP_784326-MLM26157481948_102017-O.jpg;https://http2.mlstatic.com/pantalla-14-40p-n140bge-l42-l43-l33-b140xtn030-0pix-6m-D_NQ_NP_851621-MLM26022171581_092017-O.jpg;https://http2.mlstatic.com/pantalla-14-40p-n140bge-l42-l43-l33-b140xtn030-0pix-6m-D_NQ_NP_745533-MLM26022171583_092017-O.jpg;https://http2.mlstatic.com/pantalla-14-40p-n140bge-l42-l43-l33-b140xtn030-0pix-6m-D_NQ_NP_909463-MLM25600069851_052017-O.jpg
http://articulo.mercadolibre.com.mx/MLM-568707977-pantalla-display-14-40-p-hp-g42-cq42-cq43-cq45-0pix-6m-_JM;Pantalla Display 14 40 P Hp G42 Cq42 Cq43 Cq45 0pix 6m;1189;"Genérico Compatible
";"HP G42 CQ42
";"14 in
";"ESTA PANTALLA ES COMPATIBLE CON LOS SIGUIENTES MODELOS
 COMPATIBILIDADES
 LENOVO
 G405, G470, G480, G460, G450, G455, G475, Z470 Y400 Y470 Series
 SAMSUNG
 NP300E4A, NP300E4C, NP350V4C, RV411, RV415, R440, R420, Q430 Series
 SONY VAIO
 Pcg-61a11u, Pcg-61b11u,VPC-EG20EL
 ASUS
 A45A, X44H, X43SJ, K42, X45, X45A Series
 HP
 1000 G4-1000 G4-2000 420 450 Dv4-4000
 TOSHIBA
 L845 C40D-A C645 L645 L745 M505
 COMPAQ
 CQ43 CQ45
 ACER
 E1-421 4250 4333 4732z
 NUMERO DE PARTE
 B140XW01 V.5 B140XW01 V.6 B140XW01 V.7 B140XW01 V.8 B140XW01 V.9 B140XTN01.0 HSD140PHW1 M140NWR2 M140NWR2 CLAA140WB11 N140BGE-L11 N140BGE-L12 N140BGE-L13 N140BGE-L21 N140BGE-L22 N140BGE-L23 LP140WH4(TL)(T1) LP140WH4(TL)(N1) LTN140AT20-S01 LTN140AT26-L01 LTN140AT26-T01 LTN140AT26-W01";https://http2.mlstatic.com/pantalla-display-14-40-p-hp-g42-cq42-cq43-cq45-0pix-6m-D_NQ_NP_855242-MLM26116022692_102017-O.jpg;https://http2.mlstatic.com/pantalla-display-14-40-p-hp-g42-cq42-cq43-cq45-0pix-6m-D_NQ_NP_931917-MLM25578674176_052017-O.jpg;https://http2.mlstatic.com/pantalla-display-14-40-p-hp-g42-cq42-cq43-cq45-0pix-6m-D_NQ_NP_750838-MLM26115593125_102017-O.jpg;https://http2.mlstatic.com/pantalla-display-14-40-p-hp-g42-cq42-cq43-cq45-0pix-6m-D_NQ_NP_656957-MLM26022171584_092017-O.jpg;https://http2.mlstatic.com/pantalla-display-14-40-p-hp-g42-cq42-cq43-cq45-0pix-6m-D_NQ_NP_784326-MLM26157481948_102017-O.jpg;https://http2.mlstatic.com/pantalla-display-14-40-p-hp-g42-cq42-cq43-cq45-0pix-6m-D_NQ_NP_851621-MLM26022171581_092017-O.jpg;https://http2.mlstatic.com/pantalla-display-14-40-p-hp-g42-cq42-cq43-cq45-0pix-6m-D_NQ_NP_745533-MLM26022171583_092017-O.jpg;https://http2.mlstatic.com/pantalla-display-14-40-p-hp-g42-cq42-cq43-cq45-0pix-6m-D_NQ_NP_909463-MLM25600069851_052017-O.jpg
http://articulo.mercadolibre.com.mx/MLM-568708278-pantalla-156-40p-b156xw02-v2-satellite-c655-c55d-0pix-6m-_JM;Pantalla 15.6 40p B156xw02 V.2 Satellite C655 C55d 0pix 6m;1315;"Genérico Compatible
";"Satellite C655
";"15.6 in
";"ESTA PANTALLA ES COMPATIBLE CON LOS SIGUIENTES MODELOS
 COMPATIBILIDADES
 ACER (Series)
 V3-571 5536 5883 5251 5332 5538 5542 5544 5730
 DELL (Series)
 1545 1564 M5030 M5040 N5110 15R 5520
 Studio
 1555
 XPS
 15 L501X
 HP (Series)
 2000 DV6-3000 DV6-6000 655 G62
 Presario
 CQ56
 TOSHIBA(Series)
 L455 L455D C650D C655D L655 L655D L755 C855D
 LENOVO(Series)
 G550 G560 T510 L512
 ASUS (Series)
 U50F G51V K50
 SONY (Series)
 VPC-EB PCG-7000
 GATEWAY (Series)
 NV52 NV53 NV64 MS2274
 SAMSUNG (Series)
 RC510 RC512
 EMACHINES (Series)
 E525
 LENOVO (Series)
 Ideapad G550 Ideapad Y550 Ideapad Y560d
 NUMERO DE PARTE ORIGINAL
 B156XTN02.0 B156XTN02.1 B156XTN02.2 B156XTN02.3 B156XTN02.4 B156XTN02.6 B156XW02 V.3 B156XW02 V.5 B156XW02 V.6 LP156WH2 LP156WH4 LTN156AT24 LTN156AT26 LTN156AT27 LTN156AT28 LTN156AT32 M156NWR2 R0 N156B6-L01 N156B6-L03 N156B6-L04 N156B6-L05 N156B6-L06 N156B6-L07 N156B6-L08 N156B6-L0A N156B6-L0B N156B6-L0H N156B6-L0I";https://http2.mlstatic.com/pantalla-156-40p-b156xw02-v2-satellite-c655-c55d-0pix-6m-D_NQ_NP_676863-MLM26511743358_122017-O.jpg;https://http2.mlstatic.com/pantalla-156-40p-b156xw02-v2-satellite-c655-c55d-0pix-6m-D_NQ_NP_946243-MLM25545885985_042017-O.jpg;https://http2.mlstatic.com/pantalla-156-40p-b156xw02-v2-satellite-c655-c55d-0pix-6m-D_NQ_NP_806245-MLM26511740914_122017-O.jpg;https://http2.mlstatic.com/pantalla-156-40p-b156xw02-v2-satellite-c655-c55d-0pix-6m-D_NQ_NP_656957-MLM26022171584_092017-O.jpg;https://http2.mlstatic.com/pantalla-156-40p-b156xw02-v2-satellite-c655-c55d-0pix-6m-D_NQ_NP_784326-MLM26157481948_102017-O.jpg;https://http2.mlstatic.com/pantalla-156-40p-b156xw02-v2-satellite-c655-c55d-0pix-6m-D_NQ_NP_851621-MLM26022171581_092017-O.jpg;https://http2.mlstatic.com/pantalla-156-40p-b156xw02-v2-satellite-c655-c55d-0pix-6m-D_NQ_NP_745533-MLM26022171583_092017-O.jpg;https://http2.mlstatic.com/pantalla-156-40p-b156xw02-v2-satellite-c655-c55d-0pix-6m-D_NQ_NP_909463-MLM25600069851_052017-O.jpg
http://articulo.mercadolibre.com.mx/MLM-568709594-pantalla-14-slim-30-p-n140bge-e43-lp140wh2tps1-0pix-6m-_JM;Pantalla 14 Slim 30 P N140bge-e43 Lp140wh2(tp)(s1) 0pix 6m;1059;"Genérico Compatible
";"Acer Aspire E1-472, V5-431P, V5-471P
";"14 in
";"ESTA PANTALLA ES COMPATIBLE CON LOS SIGUIENTES MODELOS
 COMPATIBILIDADES
 ACER ASPIRE
 E1-472 E1-472G M5-481 M5-481P M5-481PT MS2367 V5-431P V5-471P V5-472 V5-472G V5-473 V7-481 V7-481G
 ASUS
 S46
 IDEAPAD
 U410 U430
 THINKPAD
 E440 S3-431 S3-440 T430
 NUMERO DE PARTE
 B140XTN02.0 B140XTN02.4 B140XTN02.6 B140XTN03.2 B140XTN03.3 HB140WX1-301 HB140WX1-401 LP140WH2-TPS1 LP140WH2-TPS2 LP140WH2-TPS3 LP140WH2-TPT1 LP140WHU-TPA1 LP140WU-TPB1 LTN140AT31 N140BGE-E33 N140BGE-E43 N140BGE-EA1 N140BGE-EA2 N140BGE-EA3 N140BGE-EB1 N140BGE-EB2 N140BGE-EB3";https://http2.mlstatic.com/pantalla-14-slim-30-p-n140bge-e43-lp140wh2tps1-0pix-6m-D_NQ_NP_985334-MLM26116002767_102017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-30-p-n140bge-e43-lp140wh2tps1-0pix-6m-D_NQ_NP_639690-MLM25578675453_052017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-30-p-n140bge-e43-lp140wh2tps1-0pix-6m-D_NQ_NP_750838-MLM26115593125_102017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-30-p-n140bge-e43-lp140wh2tps1-0pix-6m-D_NQ_NP_656957-MLM26022171584_092017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-30-p-n140bge-e43-lp140wh2tps1-0pix-6m-D_NQ_NP_784326-MLM26157481948_102017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-30-p-n140bge-e43-lp140wh2tps1-0pix-6m-D_NQ_NP_851621-MLM26022171581_092017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-30-p-n140bge-e43-lp140wh2tps1-0pix-6m-D_NQ_NP_745533-MLM26022171583_092017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-30-p-n140bge-e43-lp140wh2tps1-0pix-6m-D_NQ_NP_909463-MLM25600069851_052017-O.jpg
http://articulo.mercadolibre.com.mx/MLM-577513993-pantalla-display-140-40p-lp140wh4-tla1-tln1-0pix-6m-_JM;Pantalla Display 14.0 40p Lp140wh4 (tl)(a1) (tl)(n1) 0pix 6m;1189;"Genérico Compatible
";"HP G42, Cq42, PRESARIO CQ42 y CQ43 series
";"14 in
";"ESTA PANTALLA ES COMPATIBLE CON LOS SIGUIENTES MODELOS
 COMPATIBILIDADES
 LENOVO
 G405, G470, G480, G460, G450, G455, G475, Z470 Y400 Y470 Series
 SAMSUNG
 NP300E4A, NP300E4C, NP350V4C, RV411, RV415, R440, R420, Q430 Series
 SONY VAIO
 Pcg-61a11u, Pcg-61b11u,VPC-EG20EL
 ASUS
 A45A, X44H, X43SJ, K42, X45, X45A Series
 HP
 1000 G4-1000 G4-2000 420 450 Dv4-4000
 TOSHIBA
 L845 C40D-A C645 L645 L745 M505
 COMPAQ
 CQ43 CQ45
 ACER
 E1-421 4250 4333 4732z
 NUMERO DE PARTE
 B140XW01 V.5 B140XW01 V.6 B140XW01 V.7 B140XW01 V.8 B140XW01 V.9 B140XTN01.0 HSD140PHW1 M140NWR2 M140NWR2 CLAA140WB11 N140BGE-L11 N140BGE-L12 N140BGE-L13 N140BGE-L21 N140BGE-L22 N140BGE-L23 LP140WH4(TL)(T1) LP140WH4(TL)(N1) LTN140AT20-S01 LTN140AT26-L01 LTN140AT26-T01 LTN140AT26-W01";https://http2.mlstatic.com/pantalla-display-140-40p-lp140wh4-tla1-tln1-0pix-6m-D_NQ_NP_796667-MLM26115907355_102017-O.jpg;https://http2.mlstatic.com/pantalla-display-140-40p-lp140wh4-tla1-tln1-0pix-6m-D_NQ_NP_962981-MLM25578682027_052017-O.jpg;https://http2.mlstatic.com/pantalla-display-140-40p-lp140wh4-tla1-tln1-0pix-6m-D_NQ_NP_750838-MLM26115593125_102017-O.jpg;https://http2.mlstatic.com/pantalla-display-140-40p-lp140wh4-tla1-tln1-0pix-6m-D_NQ_NP_656957-MLM26022171584_092017-O.jpg;https://http2.mlstatic.com/pantalla-display-140-40p-lp140wh4-tla1-tln1-0pix-6m-D_NQ_NP_784326-MLM26157481948_102017-O.jpg;https://http2.mlstatic.com/pantalla-display-140-40p-lp140wh4-tla1-tln1-0pix-6m-D_NQ_NP_851621-MLM26022171581_092017-O.jpg;https://http2.mlstatic.com/pantalla-display-140-40p-lp140wh4-tla1-tln1-0pix-6m-D_NQ_NP_745533-MLM26022171583_092017-O.jpg;https://http2.mlstatic.com/pantalla-display-140-40p-lp140wh4-tla1-tln1-0pix-6m-D_NQ_NP_909463-MLM25600069851_052017-O.jpg
http://articulo.mercadolibre.com.mx/MLM-578391506-pantalla-156-slim-40-p-lp156wh3-5410-5534-5810-0pix-6m-_JM;Pantalla 15.6 Slim 40 P Lp156wh3 5410 5534 5810 0pix 6m;1375;"Genérico Compatible
";"Acer Aspire 5410
";"15.6 in
";"ESTA PANTALLA ES COMPATIBLE CON LOS SIGUIENTES MODELOS
 COMPATIBILIDADES
 Acer
 5410 5534 5538 5810 5820 5410TG 5745G 5810T 5810TZ 5820TG V5-531 V5-551 V5-571g
 Travelmate:
 5360 P653
 Asus
 K56 K56CB K56CB-XO099-8 N56 N56CB S500 S500CA-DS51T U50A U50F U50V U50VG U53 U53F U53JC UL50 UL50A UL50V UL50VT UX50V
 Dell
 1570 5537
 XPS:
 1569 L511Z
 Lenovo
 Y560 U550 Z500C P580 P585
 Essential
 G505s
 Samsung
 NP510 NP510R5E-S01PL NP370 NP370R5E-S05PL
 Sony
 SVE1511A1EW SVE1511B1EB SVE1511G1ESI SVE1511S1E SVE1511V1EW SVE1512E6EB SVE1512E6EW SVE1512F1RW SVE1512J6ESI SVE1512M6ESI SVE1512M6EW SVE1512N1EB SVE1512P1E/B SVE1513F1EB SVE151C11M SVE151D11M SVE151E11M SVE151G13M SVE151G17M SVE151J11M SVF152A29H
 NUMEROS DE PARTE ORIGINAL
 B156XW03 V.1 B156XW03 V.3 B156XW04 V.0 B156XW04 V.5 N156B6-L0D N156BGE-L41 NT156WHM-N10 CLAA156WA15A LP156WH3 (TL)(AA) LP156WH3 (TL)(A1) LP156WH3 (TL)(L1) LP156WH3 (TL)(A2) LP156WH3(TL)(A3) LP156WH3(TL)(Q1) LP156WHB-TLA1 LTN156AT07-A01 LTN156AT06-A01 LTN156AT11 LTN156AT10-L01 LTN156AT20 LTN156AT30 ltn156at35";https://http2.mlstatic.com/pantalla-156-slim-40-p-lp156wh3-5410-5534-5810-0pix-6m-D_NQ_NP_719135-MLM26116061873_102017-O.jpg;https://http2.mlstatic.com/pantalla-156-slim-40-p-lp156wh3-5410-5534-5810-0pix-6m-D_NQ_NP_655773-MLM25545945964_042017-O.jpg;https://http2.mlstatic.com/pantalla-156-slim-40-p-lp156wh3-5410-5534-5810-0pix-6m-D_NQ_NP_750838-MLM26115593125_102017-O.jpg;https://http2.mlstatic.com/pantalla-156-slim-40-p-lp156wh3-5410-5534-5810-0pix-6m-D_NQ_NP_656957-MLM26022171584_092017-O.jpg;https://http2.mlstatic.com/pantalla-156-slim-40-p-lp156wh3-5410-5534-5810-0pix-6m-D_NQ_NP_784326-MLM26157481948_102017-O.jpg;https://http2.mlstatic.com/pantalla-156-slim-40-p-lp156wh3-5410-5534-5810-0pix-6m-D_NQ_NP_851621-MLM26022171581_092017-O.jpg;https://http2.mlstatic.com/pantalla-156-slim-40-p-lp156wh3-5410-5534-5810-0pix-6m-D_NQ_NP_745533-MLM26022171583_092017-O.jpg;https://http2.mlstatic.com/pantalla-156-slim-40-p-lp156wh3-5410-5534-5810-0pix-6m-D_NQ_NP_909463-MLM25600069851_052017-O.jpg
http://articulo.mercadolibre.com.mx/MLM-579461034-pantalla-14-slim-40p-hp-14-r000-v000-n140bge-la2-lb2-0pix-6m-_JM;Pantalla 14 Slim 40p Hp 14 R000 V000 N140bge La2 Lb2 0pix 6m;1499;"Genérico Compatible
";"Lenovo U400, T430
";"14 in
";"ESTA PANTALLA ES COMPATIBLE CON LOS SIGUIENTES MODELOS
 COMPATIBILIDADES
 Acer Aspire
 V5-471, V5-431, 4810T, 4810TZ Series
 HP Pavilion
 14-N, 14-E, 14-R, 14-G, 14-R, 14-V DM4-1000 2000 14-B 240 G3 Series
 Dell Inspiron
 14 3421, 14R 5421, 14Z N411Z, 14Z 5423, 14Z 1470, Latitude 3440 Series
 Lenovo
 G400s, G405s, S400, S410, S405, T420 Series
 Samsung
 NP370R4E Series
 Toshiba Satellite
 L40-A, L40T Series
 Sony Vaio
 SVE14, VPC-EA, VPC-CW, SVF14, PCG-61313L, PCG-61112L, PCG-61411L, Series
 NUMERO DE PARTE
 N140BGE-LB2 N140BGE-L31 N140BGE-L32 N140BGE-L33 N140BGE-L41 N140BGE-L42 N140BGE-L43 N140BGE-LA2 B140XW02 B140XW03 B140XTN02.0 B140XTN02.2 B140XTN02.3 B140XTN03.0 Lp140wh2(tl)(s1) Lp140wh2(tl)(a2) Lp140wh2(tl)(e1) Lp140wh2(tl)(e2) LTN140AT20-D LTN140AT20-D01 LTN140AT20-T02 LTN140AT20-L02 LTN140AT20-W01 LTN140AT20-G01 LTN140AT20-V01 M140NWR1 LP140WHU LTN140AT27 LTN140AT28 CLAA140WB01";https://http2.mlstatic.com/pantalla-14-slim-40p-hp-14-r000-v000-n140bge-la2-lb2-0pix-6m-D_NQ_NP_992617-MLM26115894611_102017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-40p-hp-14-r000-v000-n140bge-la2-lb2-0pix-6m-D_NQ_NP_827613-MLM25578663499_052017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-40p-hp-14-r000-v000-n140bge-la2-lb2-0pix-6m-D_NQ_NP_750838-MLM26115593125_102017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-40p-hp-14-r000-v000-n140bge-la2-lb2-0pix-6m-D_NQ_NP_656957-MLM26022171584_092017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-40p-hp-14-r000-v000-n140bge-la2-lb2-0pix-6m-D_NQ_NP_784326-MLM26157481948_102017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-40p-hp-14-r000-v000-n140bge-la2-lb2-0pix-6m-D_NQ_NP_851621-MLM26022171581_092017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-40p-hp-14-r000-v000-n140bge-la2-lb2-0pix-6m-D_NQ_NP_745533-MLM26022171583_092017-O.jpg;https://http2.mlstatic.com/pantalla-14-slim-40p-hp-14-r000-v000-n140bge-la2-lb2-0pix-6m-D_NQ_NP_909463-MLM25600069851_052017-O.jpg
http://articulo.mercadolibre.com.mx/MLM-584973091-pantalla-116-slim-lenovo-hp-acer-lp116wh2tln1-0-pix-6m-_JM;Pantalla 11.6 Slim Lenovo Hp Acer Lp116wh2(tl)(n1) 0 Pix 6m;1119;"Genérico Compatible
";"ACER 722 series, SONY PCG-31311U
";"11.6 in
";"ESTA PANTALLA ES COMPATIBLE CON LOS SIGUIENTES MODELOS
 COMPATIBILIDADES
 ACER
 722
 HP
 DM1-3080LA, Dm1-3265la.
 ThinkPad
 X130e
 SONY
 VAIO VPCYB35AL (PCG-31311U)
 Dell
 11Z 1110, 11Z 1121
 NUMERO DE PARTE ORIGINAL
 LP116WH2(TL)(N1), LP116WH2(TL)(C1), B116XW01 V.0";https://http2.mlstatic.com/pantalla-116-slim-lenovo-hp-acer-lp116wh2tln1-0-pix-6m-D_NQ_NP_631596-MLM25621486754_052017-O.jpg;https://http2.mlstatic.com/pantalla-116-acer-D_NQ_NP_656957-MLM26022171584_092017-O.jpg;https://http2.mlstatic.com/116-acer-pantalla-D_NQ_NP_750838-MLM26115593125_102017-O.jpg;https://http2.mlstatic.com/pantalla-116-slim-lenovo-hp-acer-lp116wh2tln1-0-pix-6m-D_NQ_NP_784326-MLM26157481948_102017-O.jpg;https://http2.mlstatic.com/pantalla-116-acer-D_NQ_NP_851621-MLM26022171581_092017-O.jpg;https://http2.mlstatic.com/116-acer-pantalla-D_NQ_NP_745533-MLM26022171583_092017-O.jpg;https://http2.mlstatic.com/pantalla-116-slim-lenovo-hp-acer-lp116wh2tln1-0-pix-6m-D_NQ_NP_909463-MLM25600069851_052017-O.jpg;
